id,title,slug,description,required_skills,expected_budget,expected_duration,attachments,client_id,specialization_id,status,type,location_type,longitude,latitude,address,created_at,updated_at
4206,Architect,,Career Center announces a new opening of the Architect position for its partner Architectural Design company.  The Architect will be responsible for planning and developing  interior mainly and exterior design of public buildings hotels homes and will be reporting directly to the Director.,,100.0,10,,1,1,,open,remote,,,,,
4207,Senior QA Engineer,,Essence Development LLC is looking for a Senior Software Quality Assurance Engineer for long-term projects. The successful candidate must demonstrate a solid understanding of QA methodologies and extensive knowledge of computer science. The successful candidate must be a self-motivated personality with good analytical and problem solving skills.,,100.0,10,,1,1,,open,remote,,,,,
4208,International Sales Manager,,VoIPShop Telecommunications Inc. is seeking a motivated analytical and commercially orientated sales person to serve as International Sales Manager.,,100.0,10,,1,1,,open,remote,,,,,
4209,Loan Agent,,CascadeCredit UCO CJSC is looking for a motivated and proactive candidate for the position of Loan Agent.,,100.0,10,,1,1,,open,remote,,,,,
4210,Head of Medical Inventory Department,,Nork Marash Medical Center is seeking a highly motivated person for the position of Head of Medical Inventory Department.,,100.0,10,,1,1,,open,remote,,,,,
4211,Cook,,Career Center is looking for candidates to fulfill the position of Cook who will be responsible for preparing and seasoning a variety of meats vegetables soups salads and other food items.,,100.0,10,,1,1,,open,remote,,,,,
4212,Head of Marketing Department,,Ar & Ar Design Construction LLC is seeking qualified candidates for the position of Head of Marketing Department to develop and implement the firm's marketing strategy.,,100.0,10,,1,1,,open,remote,,,,,
4213,HR Manager,,"""NatFood"" CJSC is announcing a position of HR Manager and is looking for a highly motivated and experienced professional. The HR Manager is responsible for oversight of all human resources systems and procedures including recruitment and selection training and development performance management and conflict resolution.",,100.0,10,,1,1,,open,remote,,,,,
4214,Postal  Financial Services (PFS) Business Unit Director,,Postal Financial Services PFS Business Unit Director ensures the development of Hayposts position in the international remittances business towards becoming a high quality efficient and profitable provider.,,100.0,10,,1,1,,open,remote,,,,,
4215,Financial Market Specialist (FMS),,The USAID-funded Financial Sector Deepening Project FSDP seeks a financial market specialist FMS to be responsible for conducting research analysis assessments surveys and reports on various segments of the Armenian financial market as well as providing assistance as needed to the Armenian Credit Reporting Agency ACRA.,,100.0,10,,1,1,,open,remote,,,,,
4216,Sales & Marketing Manager,,The Sales and Marketing Manager participates in the development and implementation of marketing strategies and concludes sales of new residential and commercial properties in Yerevan.,,100.0,10,,1,1,,open,remote,,,,,
4217,Assistant of  Logistics & Marketing Department,,Mavas Group LLC is looking for a motivated and well organized candidate for the position of Assistant in the Logistics and Marketing Department.,,100.0,10,,1,1,,open,remote,,,,,
4218,Capacity Building Assistant,,WVA is seeking a Capacity Building Assistant to assist in implementation of capacity building activities initiatives and materials which aim to build the capacity of the employees of World Vision Armenia; work with the HROD Manager to achieve objectives set by the Capacity Building log frame and Implementation plan; actively contribute to HROD Strategy implementation and HROD function high quality.,,100.0,10,,1,1,,open,remote,,,,,
4219,3d Programmer,,Ixibit Armenia LLC is seeking experienced and creative candidates to fulfill the position of 3d Programmer. The incumbents will be responsible for 3d environments interactive capabilities programming.,,100.0,10,,1,1,,open,remote,,,,,
4220,Visualizers Team Leader,,Ixibit Armenia LLC is seeking experienced and creative architect/ interior designer to fulfill the position of Team Leader. The incumbent will be responsible for leading the visualizers team.,,100.0,10,,1,1,,open,remote,,,,,
4221,Production Manager,,Ixibit Armenia LLC is seeking experienced candidates to fulfill the position of Production Manager.,,100.0,10,,1,1,,open,remote,,,,,
4222,Software Development Manager,,LinkGard Systems is seeking a highly experienced Software Development Manager that can manage many concurrent software development projects both in-house and external. The position requires both technical depth as well as experience with many different technologies such as Java C++ .NET and Objective C.,,100.0,10,,1,1,,open,remote,,,,,
4223,Software Architect,,This is a software architect position driving the design and development of core LinkGard products. The desired candidate must be a team player and have experience in a wide array of technologies.,,100.0,10,,1,1,,open,remote,,,,,
4224,Business Development and International Relations Manager,,Armenian Card is looking for a motivated self-driven and professional candidate for the position of Business Development and International Relations BD&IR Manager. Under the direct supervision of CEO the incumbent will coordinate and supervise the activities of the company's BD&IR Department.,,100.0,10,,1,1,,open,remote,,,,,
4225,HR Specialist,,ACBA-Credit Agricole Bank is seeking a Human Resource Specialist to help the company manage its day to day HR activities.,,100.0,10,,1,1,,open,remote,,,,,
4226,Specialist in Methodology Division,,Methodology Specialist is responsible for ensuring the interconnection and unity of the Bank legal acts.,,100.0,10,,1,1,,open,remote,,,,,
4227,Risk Management Specialist,,ACBA-Credit Agricole Bank CJSC is seeking a Risk Management Specialist to be responsible for monitoring and assessing bank risks analyzing the external financial markets making forecasts preparing risk management reports.,,100.0,10,,1,1,,open,remote,,,,,
4228,Customer Relations Manager,,Ar & Ar Design Construction LLC is seeking qualified candidates for the position of Customer Relations Manager.,,100.0,10,,1,1,,open,remote,,,,,
4229,Director,,The Director is responsible for management and direction of the AVC operations in Yerevan Armenia.,,100.0,10,,1,1,,open,remote,,,,,
4230,Head of Commercial Department,,Ar & Ar Design Construction LLC is seeking qualified candidates for the position of Head of Commercial Department.,,100.0,10,,1,1,,open,remote,,,,,
4231,Refrigeration Service Engineer,,Ar & Ar Design Construction LLC is seeking qualified candidates for the position of Refregeration Service Engineer.,,100.0,10,,1,1,,open,remote,,,,,
4232,Java Developer,,EPAM Systems is actively looking for Java developers for complex and long-term projects. The position entails working with Sun and IBM products portal solutions the latest Java technologies.,,100.0,10,,1,1,,open,remote,,,,,
4233,C#.NET Developer,,EPAM Systems is actively looking for C#.NET developers for complex and long-term projects. The position entails working with Microsoft products.,,100.0,10,,1,1,,open,remote,,,,,
4234,C#.NET Senior Developer/ Architect,,EPAM Systems is actively looking for C#.NET developers for complex and long-term projects. The position entails working with Microsoft products.,,100.0,10,,1,1,,open,remote,,,,,
4235,Java Senior Developer/ Architect,,EPAM Systems is actively looking for Java developers for complex and long-term projects. The position entails working with Sun and IBM products portal solutions the latest Java technologies.,,100.0,10,,1,1,,open,remote,,,,,
4236,MS SQL Database Developer,,EPAM Systems is actively looking for MS SQL Database Developers for complex and long-term projects. The position entails working with Microsoft products.,,100.0,10,,1,1,,open,remote,,,,,
4237,IT Operations Division Head,,The incumbent will be responsible for the operation of company IT infrastructure. Encompasses the monitoring control and reporting of operational aspects of IT infrastructure. Operational aspects of the infrastructure include faults configuration resource utilization performance maintenance and security.,,100.0,10,,1,1,,open,remote,,,,,
4238,IT Security and Fraud Detection Division Head,,The incumbent is responsible for IT security policies formulation implementation and monitoring; management and reporting of Fraud activities tracking in Postal Communication Networks; Data Security control implementation breach mitigation actions and definition of relevant procedures.,,100.0,10,,1,1,,open,remote,,,,,
4239,IT Applications Division Head,,The incumbent is responsible for planning coordinating and supervision of all activities related to the development and implementation of software applications. He/she is also responsible for maintaining supporting and upgrading existing systems and applications.,,100.0,10,,1,1,,open,remote,,,,,
4240,IT Network Development Subdivision Head,,The incumbent is responsible for design sizing installation and maintenance of IT network infrastructure Internet and intranet services IT applications and related services IT databases servers security infrastructure and applications.,,100.0,10,,1,1,,open,remote,,,,,
4241,IT Department Head,,The incumbent is responsible for assisting in the accomplishment of the company's business targets by establishing IT resources' efficient operation system.,,100.0,10,,1,1,,open,remote,,,,,
4242,Java Developer,,NairiSoft Inc. is looking for a highly qualified person with deep knowledge and practical experience in Java programming. The selected candidate will be involved in all stages of the development life cycle.,,100.0,10,,1,1,,open,remote,,,,,
4243,Program Development Manager,,The program Development Manager is responsible for understanding the housing needs in the country; identifying suitable partners  project level and strategic  to serve families; designing practical project interventions; monitoring & evaluating the implementation of projects.,,100.0,10,,1,1,,open,remote,,,,,
4244,Donor Care and Communications Coordinator,,This position is responsible for ensuring communication reporting and the development of relationships with local and international donors in partnership with Habitat for Humanity International.,,100.0,10,,1,1,,open,remote,,,,,
4245,Executive Director,,The Executive Director is responsible for providing overall management in Armenia towards fulfilling the organizational goals and targets at a national level in alignment with the Habitat for Humanity Armenia strategy which is in alignment with HFH International HFHI Europe and Central Asia ECA Strategy.  The Executive Director represents Habitat for Humanity and is responsible for the day-to-day management of the national office to provide resource development communications partnership development financial and programmatic support/management to affiliates/partners.,,100.0,10,,1,1,,open,remote,,,,,
4246,Construction Manager,,The Construction Manager is responsible for the development implementation monitoring from a technical perspective construction programs supervised by the national office NO ensuring that the projects meet the Habitat standards of simple decent and affordable SDA.,,100.0,10,,1,1,,open,remote,,,,,
4247,Tour Manager,,"""Seven Days"" LLC is looking for an individual who displays significant leadership is creative and is willing to initiate activities rather than someone who must be instructed on every assignment and task. The individual must be a take charge person and be able to work with limited supervision. The successful applicant will be responsible and gifted with common sense. Knowledge of the tourism industry and personal communication skills are extremely desirable. ""Seven Days"" is looking for an experienced top professional.  The Tour Manager will provide a one-stop shop for travel and tourism services to the customers including but not limited to incoming and outgoing complete tour packages orientation and consultancy insurance visa support transportation arrangements for pick up from the airport hotel reservations guides translators food leisure and other arrangements. The Tour Manager will communicate with potential clients to propose services of the travel company and make sales. He/she will also design new tour programs and will contribute to the companys team work. The incumbent will report to the Director for Tourism and will advise the staff members of the teams work.  Working days and hours: The successful candidate will work 40 hours and will get 2 days free per week. However it is the Company who will specify the non working days and will set the working hours.",,100.0,10,,1,1,,open,remote,,,,,
4248,Armenian Language Translator,,AMI Novosti-Armenia is seeking an Armenian Language Translator to be responsible for translating public and political information from Russian into Armenian.,,100.0,10,,1,1,,open,remote,,,,,
4249,Seller Consultant,,Career Center is looking for professional pharmacists. The incumbent must effectively introduce necessary medical information and sell the products.,,100.0,10,,1,1,,open,remote,,,,,
4250,Advertising Manager,,Barsis LLC is seeking experienced candidates to fulfill the position of Advertising Manager.,,100.0,10,,1,1,,open,remote,,,,,
4251,Recruitment Coordinator,,The Recruitment Coordinator is responsible for the development and implementation of the corporate recruitment plan in business partnership with all departments of the company. The role of the Recruitment Coordinator is to help screen and recruit the most effective and highest quality of candidates and ensure compliance of recruitment process with RA Labor Code and Corporate Policies and Procedures.,,100.0,10,,1,1,,open,remote,,,,,
4252,Marketing & Support Engineer in Telecommunication,,ZTE Corporation is seeking a highly motivated person for the position of Marketing and Support Engineer.,,100.0,10,,1,1,,open,remote,,,,,
4253,System Architectural Designer,,WestSoft LLC is seeking highly motivated people for the positions of System Architectural Designer to join the company's software development process.,,100.0,10,,1,1,,open,remote,,,,,
4254,Technical and Administrative Intern,,The USAID MAAC Activity is offering a summer internship for an Armenian student. The intern will provide administrative and technical support to Technical and Administrative Staff in implementing the MAAC Activity. Duties include general clerical data-entry research administrative and logistics.,,100.0,10,,1,1,,open,remote,,,,,
4255,Grants Manager Assistant-Intern,,The USAID MAAC Activity is offering a summer internship for an Armenian student. The intern will provide administrative support to the Grants Manager. Duties include general clerical data-entry database management and logistics.,,100.0,10,,1,1,,open,remote,,,,,
4256,Head of Operations Department,,The incumbent will be responsible for the effective organization of operations of the company and circulation of credit bureau information. Encompasses the design monitoring and control of relevant business processes.,,100.0,10,,1,1,,open,remote,,,,,
4257,Senior Software Developer (VOIP),,LinkGard Systems LLC is seeking a highly experienced Senior Software Engineer that will participate in the design and development of several Linkgard products including its flagship Voice Archiving software solution. The primary responsibility is adding functionality based on SIP and RTP protocols. The company needs ethical energetic and highly motivated individuals with full software development life-cycle experience.,,100.0,10,,1,1,,open,remote,,,,,
4258,User Interface/ Web/ Graphic Designer,,The UI Designer will be responsible for developing the user interface for a complex web application with a lot of data entry screens workflows views and reports. The candidate must be extremely detail oriented.,,100.0,10,,1,1,,open,remote,,,,,
4259,C++/C#  Software Developer,,The primary objective of this position is to produce required product in conjunction with team members insuring it is of high quality and is timely.,,100.0,10,,1,1,,open,remote,,,,,
4260,Chief Accountant,,The Chief Accountant is responsible for leading the accounting staff and is the key manager of core accounting processes. The selected individual will ensure the sound development and assessment of accounting records and financial statements in accordance with Armenian Accounting Standards and Law on Accounting of RA.,,100.0,10,,1,1,,open,remote,,,,,
4261,Project Manager,,EPAM Systems is actively looking for Project Manager for complex and long-term software development projects. The projects will deal with large and well-known customers both in Europe and the United States.,,100.0,10,,1,1,,open,remote,,,,,
4262,Armenian Speaking Secretarial Assistants (Grade B1/B2),,Secretarial Assistants for the Registry of the European Court of Human Rights. Under the authority of the Registrar of the Court and a Head of a Legal Division the post-holder will provide a variety of secretarial support in compliance with general guidelines and priorities and with a concern for quality efficiency and accuracy.,,100.0,10,,1,1,,open,remote,,,,,
4263,Medical Representative,,According to an agreed cycle plan the candidate will visit and inform medical doctors specialists and pharmacists on the therapeutic use and important features and benefits of these research products. In order to enable the candidate to seriously and accurately keep the medical profession up-to-date in this respect the Medical Representative will receive a constant flow of high quality promotional tools. The incumbent is expected to take responsibility to build excellent long term relationships with the medical profession in Armenia.  Every month she/he will evaluate the results and if necessary adapt the plans in order to reach the pre-determined sales targets.,,100.0,10,,1,1,,open,remote,,,,,
4264,Software Developer C++/C#,,WestSoft LLC is seeking a highly motivated person for the position of Software Developer C#/ C++ to join the company's software development process.,,100.0,10,,1,1,,open,remote,,,,,
4265,System Engineer,,Lycos Armenia is looking for motivated technical persons to take over a new position as a System Engineer. The incumbent will  work on Lycos business solutions projects. During these projects the selected candidate will have a chance to cooperate with colleagues from Germany.,,100.0,10,,1,1,,open,remote,,,,,
4266,Software QA Engineer,,Webb Fontaine Holding is looking for a Senior Software Quality Assurance Engineer for long-term projects.,,100.0,10,,1,1,,open,remote,,,,,
4267,Junior Architect,,"""Armenia International Airports"" CJSC is looking for a highly motivated person to fulfill the duties of Junior Architect.",,100.0,10,,1,1,,open,remote,,,,,
4268,Layout Internship,,Interns will gain Integral Circuit Layout design skills CAD layout verification tools usage skills. The best candidates will be selected for hiring after final exam.,,100.0,10,,1,1,,open,remote,,,,,
4269,Chief Accountant,,Cascade Consultants CJSC is looking for a motivated and proactive candidate for the position of Chief Accountant.,,100.0,10,,1,1,,open,remote,,,,,
4270,Press Officer,,The Press Officer carries out HayPosts PR-related activities both nationally and internationally.    The incumbent works with Communications and PR staff to coordinate public affairs communication materials and publications.,,100.0,10,,1,1,,open,remote,,,,,
4271,"Store Director Trainee, Yerevan",,The Chain of Star supermarkets is looking for management trainees to fill the positions of Store Director in existing or opening stores after successful completion of training period.,,100.0,10,,1,1,,open,remote,,,,,
4272,"Store Director Trainee,  Gyumri",,The Chain of Star supermarkets is looking for management trainees to fill the positions of Store Director in existing or opening stores after successful completion of training period.,,100.0,10,,1,1,,open,remote,,,,,
4273,Translator,,"""Capital"" Business Daily Media Style LLC is seeking a Translator to provide news and articles translation.",,100.0,10,,1,1,,open,remote,,,,,
4274,Sales Manager,,Master Class Tennis & Fitness Club is looking for a motivated and proactive candidate for the position of Sales Manager.,,100.0,10,,1,1,,open,remote,,,,,
4275,Service Manager,,The Service Manager will be responsible for coordination and co-operation of local Samsung authorized service centres ASCes work with regional centre and HQ as well will be responsible for customer-service communication linking between HQ and other duties if needed.,,100.0,10,,1,1,,open,remote,,,,,
4276,Administrative Assistant,,The Administrative Assistant will carry out administrative duties in support of IREXs overall mission.,,100.0,10,,1,1,,open,remote,,,,,
4277,Brand Manager,,"""Sovrano"" LLC is seeking experienced candidates to fulfill the position of Brand Manager.",,100.0,10,,1,1,,open,remote,,,,,
4278,English Language Instructor,,We have a new opening for the position of English Language Instructor. Under the overall supervision of the Language Center Coordinator the Language Instructor will develop and conduct language classes.,,100.0,10,,1,1,,open,remote,,,,,
4279,Finance Officer/ Cashier,,The Finance Officer/Cashier will provide treasury and financial service and support to Yerevan office. The Finance Officer/Cashier will be primarily responsible for compliance of the Save the Children's SC financial activities to the accounting requirements of RA. This person will ensure that SC tax obligations are fulfilled in accordance with the law and regulations of RA and will handle reporting to tax authorities.,,100.0,10,,1,1,,open,remote,,,,,
4280,Loan Officers,,MDF-Kamurj is seeking Loan Officers for expanding the geography and positive impact of its operations on low-income families in Armenia generated through providing microfinance and non-financial services.,,100.0,10,,1,1,,open,remote,,,,,
4281,Administrative Assistant,,"""Hoffmann-La Roche"" Ltd Representation in Armenia is looking for an Administrative Assistant who will provide a variety of secretarial support in compliance with general guidelines and priorities and with a concern for quality efficiency and accuracy.",,100.0,10,,1,1,,open,remote,,,,,
4282,Senior Software Engineer,,In this role the incumbent will help develop provide excellent solutions for various projects using the latest technologies and according to the highest development standards based on best practices and design patterns.,,100.0,10,,1,1,,open,remote,,,,,
4283,Radio Engineer,,Redinet CJSC is looking for a highly motivated and experienced professional for the position of Radio Engineer.,,100.0,10,,1,1,,open,remote,,,,,
4284,Project Assistant,,The Project Assistant covers the secretarial duties of the Women's Rights Center NGO facilitates the work and other functions of the organization.,,100.0,10,,1,1,,open,remote,,,,,
4285,"Operations Manager, NO-3",,Under general supervision of the Representative the incument manages the operational functions of the Armenia country office i.e. finance accounts personnel administration supply IT in support of the country office programme.,,100.0,10,,1,1,,open,remote,,,,,
4286,Technical Project Manager,,In this role the incumbent will combine the planning and execution skills of a traditional project manager with an in-depth technical understanding of internet application development. The Technical Project Manager will be responsible for the successful completion of IT development projects throughout a projects life-cycle; ensure business requirements are fully understood and mapped to technical requirements and act as the link between IT and other departments in providing concise to-the-point and on-time reports regarding the project status as well as possible problems/issues and risks. Finally the incumbent will proactively support the development team in managing time expectations and ensuring high-quality delivery of projects to time and budget,,100.0,10,,1,1,,open,remote,,,,,
4287,Software Engineer,,The Software Engineer is responsible for the development of STAR Development Toolkit.,,100.0,10,,1,1,,open,remote,,,,,
4288,Manager of Sales & Marketing Department,,Galaxy Concern is seeking an experienced and qualified individual for the position of Manager of Sales & Marketing Department in bread-making plant who will be responsible for the organizing the delivery supply of bread to the shopping centers and consumers in Yerevan and other regions.,,100.0,10,,1,1,,open,remote,,,,,
4289,Visual Basic Programmer (VBA Programmer),,The core task of the incumbent is to support the Company with the enhancement and automation of Excel-based business tools and reports.,,100.0,10,,1,1,,open,remote,,,,,
4290,Accountant,,Armenia International Airports is looking for an Accountant to perform accounting records and other tasks as required by the Financial and Accounting Manager.,,100.0,10,,1,1,,open,remote,,,,,
4291,Technologist,,In this role the incumbent must support the Company draw up new perspective views for technological development of the company.,,100.0,10,,1,1,,open,remote,,,,,
4292,Monitoring and Evaluation Trainee,,The Services Group Inc. TSG has an immediate opening for a Monitoring and Evaluation Trainee for the USAID Armenia Social Protection Systems Strengthening SPSS Project in Yerevan. The Position will be responsible for monitoring and evaluation including preparing project reports to USAID and counterparts. In this role the M&E specialist will also be the primary person responsible for synthesizing SPSS results into required reports to USAID and counterparts assisting the COP and DCOP with various administrative functions as necessary coordinating the collection of monitoring and evaluation data and compiling the monthly and quarterly reports. The M&E specialist will also work with administrative staff and interns as necessary to help develop and implement M&E systems for the project including measuring progress towards agreed-upon goals.,,100.0,10,,1,1,,open,remote,,,,,
4293,Digital Design Engineer,,Synopsys Armenia is looking for a Digital Design Engineer.,,100.0,10,,1,1,,open,remote,,,,,
4294,Analog Design Engineer,,Synopsys Armenia is looking for an Analog Design Engineer.,,100.0,10,,1,1,,open,remote,,,,,
4295,Merchandiser,,The Merchandiser will contribute to growth of company volume and market share and ensure continuous territory business development through product flow optimization effective coverage portfolio support and efficient allocation of available resources on the assigned territory.,,100.0,10,,1,1,,open,remote,,,,,
4296,Intern-Assistant to Administrative Services Manager,,Under the direct supervision of the Administrative Services Manager the incumbent will be responsible for CARD computer network and communication maintenance and customs clearance activities.,,100.0,10,,1,1,,open,remote,,,,,
4297,Waiter/ Waitress,,Career Center is looking for several Waiters/Waitresses whose responsibility will be serving tables.,,100.0,10,,1,1,,open,remote,,,,,
4298,Production Manager,,Ixibit Armenia LLC is seeking experienced candidates to fulfill the position of Production Manager.,,100.0,10,,1,1,,open,remote,,,,,
4299,Visualizers Team Leader,,Ixibit Armenia LLC is seeking experienced and creative architect/ interior designer to fulfill the position of Team Leader. The incumbent will be responsible for leading the visualizers team.,,100.0,10,,1,1,,open,remote,,,,,
4300,Chief Accountant,,Newlita LLC is looking for a motivated and proactive candidate for the position of Chief Accountant.,,100.0,10,,1,1,,open,remote,,,,,
4301,Financial Director,,Natfood CJSC is looking for candidates for the position of Financial Director to implement financial activities and supervision.,,100.0,10,,1,1,,open,remote,,,,,
4302,Corporate Finance Specialist,,The Corporate Finance Specialist will help the team carry out various corporate finance projects particularly with regards to the monitoring of the Banks compliance with various agreements concluded between the Bank and other financial institutions and/or organisations.,,100.0,10,,1,1,,open,remote,,,,,
4303,3d Programmer,,Ixibit Armenia LLC is seeking experienced and creative candidates to fulfill the position of 3d Programmer. The incumbents will be responsible for 3d environments interactive capabilities programming.,,100.0,10,,1,1,,open,remote,,,,,
4304,Sales Manager,,ZangTelecom LLC RadioNet is seeking qualified Sales Managers to be responsible for presentation and sales of the services.,,100.0,10,,1,1,,open,remote,,,,,
4305,Lawyer,,The successful candidate will be responsible for all legal matters of the company and make sure that the company complies with the laws of Armenia. Additional responsibilities will include but not be limited to regulatory compliance risk assessment and tax liability assessment.,,100.0,10,,1,1,,open,remote,,,,,
4306,Project Manager,,The Project Manager will be responsible for the timely and cost compliant delivery of a complex and extensive communications network. He/she will have comprehensive authority to enable the aggressive management of this endeavor. The position requires a motivated self starter with exceptional organizational skills significant PM and problem resolution experience.,,100.0,10,,1,1,,open,remote,,,,,
4307,Chief of Security,,Star supermarket chain is looking for a Chief of Security for supervising security personnel organising security activities of the company as well as controlling and maintaining security equipment.,,100.0,10,,1,1,,open,remote,,,,,
4308,Manager,,The Araks Tea House is seeking a self-confident person with nice appearance and high degree of integrity. The Manager will function under direct supervision of the Executive Director.,,100.0,10,,1,1,,open,remote,,,,,
4309,National Assistant Finance Officer,,The OSCE Office in Yerevan invites applications from highly qualified energetic and experienced Armenian professionals for the post of National Assistant Finance Officer in the Fund Administration Unit FAU. The incumbent performs duties under the direct supervision of the Chief of Fund Administration Unit CFA.,,100.0,10,,1,1,,open,remote,,,,,
4310,C# .Net/ Sharepoint Developer,,Firmplace Corporation Yerevan Branch is looking for a .NET developer with experience developing SharePoint Enterprise Solutions to join its team. The successful applicant should be comfortable in an entrepreneurial team-orientated environment and have strong English communication skills. The company will be translating business requirements into a customized out-of-the-box Microsoft SharePoint system and integrating it with many proprietary business processes.,,100.0,10,,1,1,,open,remote,,,,,
4311,HR Assistant,,We have a new opening for the position of HR Assistant. Under the overall supervision of the HR Coordinator the HR Assistant will assist in all recruitment issues.,,100.0,10,,1,1,,open,remote,,,,,
4312,Pricing and Tariffs Coordinator,,The Pricing and Tariffs Coordinator will play the leading role to identify correct pricing strategy tariffs and develop business cases for new products and services.  The incumbent will be responsible to analyze existing data construct complex predictive business models and provide final recommendations on tariffs and pricing. The ideal candidate should have analytical financial background preferably in the telecommunication industry and should have experience with descriptive and predictive analysis by aligning customer behaviors with financial implications. He/she should be able to coordinate multiple projects on-time and succeed in a fast-paced dynamic and growing business environment.,,100.0,10,,1,1,,open,remote,,,,,
4313,Specialist at Customer Transactions Formalization Division,,Ameriabank is looking for candidate for the position of Back Office Specialist for the Investment Banking operations within Customer Transaction Formalization Division at the Operational Department,,100.0,10,,1,1,,open,remote,,,,,
4314,Distribution Channels Officer,,The Distribution Channels Officer will be responsible for the development of distribution channels aimed at increasing sales volumes.  He/she will be responsible for the representation of products the monitoring of advertisement activities through distribution channels and monitoring and coordinating dealers activities in the market. The incumbent will also participate in the development of new services as well as achieving Below the Line services.,,100.0,10,,1,1,,open,remote,,,,,
4315,Executive Director,,The Executive Director is responsible for providing overall management in Armenia towards fulfilling the organizational goals and targets in alignment with the Association strategy.  The Executive Director represents Association and is responsible for the day-to-day management of the office to provide development communications and partnership development.,,100.0,10,,1,1,,open,remote,,,,,
4316,Physician Expert,,"""Ingo Armenia"" Insurance CJSC is seeking a Physician Expert to be responsible for general practice ambulatory services/management of patients routine check-ups.",,100.0,10,,1,1,,open,remote,,,,,
4317,Graphics Designer,,Firmplace Corporation is looking for an innovative Graphics Designer to work with team members on Web based applications development.,,100.0,10,,1,1,,open,remote,,,,,
4318,MS SQL Developer,,Altacode LLC is looking for MS SQL Database Developers for complex and long-term projects. The position entails working with Microsoft products.,,100.0,10,,1,1,,open,remote,,,,,
4319,Sales Consultant,,Wurth Armenia is seeking hard working highly motivated individuals who will have to represent skillfully Wurth-products to the customers maintain contacts with active gain new/potential customers and provide constant sales increase.,,100.0,10,,1,1,,open,remote,,,,,
4320,National Consultant on Energy and Energy Sector Regulatory,,The objective of the task is to act as a project consultant for developing strategy and support implementation of the activities according to the project objectives and in line with national energy policy ensuring energy efficient rehabilitation of heat supply systems and reduction of specific emissions from that sector.,,100.0,10,,1,1,,open,remote,,,,,
4321,IT Security Manager,,In this role the incumbent will be responsible for the definition implementation and monitoring of the information security policy at be2. In close collaboration with the management team the IT Security Manager will be the driver behind the implementation of the company's security framework while ensuring compliance with business-critical certifications.,,100.0,10,,1,1,,open,remote,,,,,
4322,Receptionist/ Administrative Assistant,,The incumbent will work under the direct supervision of the company President and be primarily responsible for covering the front desk.,,100.0,10,,1,1,,open,remote,,,,,
4323,Design Engineer,,Redinet CJSC is looking for a highly motivated and experienced professional for the position of Design Engineer.,,100.0,10,,1,1,,open,remote,,,,,
4324,"Project Assistant of ""Increasing Adherence TB Patients to",,"Armenian Red Cross Society is looking for the Project Assistant of ""Increasing adherence TB patients to treatment"" program.",,100.0,10,,1,1,,open,remote,,,,,
4325,Program Coordinator,,IREX seeks a full time Program Coordinator for its Education Programs Division.,,100.0,10,,1,1,,open,remote,,,,,
4326,Graphic Designer,,"""Nushikyan Association"" LLC is seeking highly motivated Graphic Designer to join the company's advertising development process.",,100.0,10,,1,1,,open,remote,,,,,
4327,Accountant,,"""Nushikyan Association"" LLC is looking for an Accountant to perform accounting records and other tasks as required by the Chief Accountant.",,100.0,10,,1,1,,open,remote,,,,,
4328,Sales and Marketing Director,,"""Nushikyan Association"" LLC is seeking qualified candidates for the position of Head of Sales and Marketing Department to develop and implement the firm's marketing strategy.",,100.0,10,,1,1,,open,remote,,,,,
4329,Sales and Marketing Manager,,"""Nushikyan Association"" LLC is looking for a motivated and well organized candidate for the position of Sales and Marketing Manager in the Marketing Department.",,100.0,10,,1,1,,open,remote,,,,,
4330,Financier,,"""Radfin"" LLC is looking for a qualified candidate to fulfill the position of Financier.",,100.0,10,,1,1,,open,remote,,,,,
4331,Project Team Leader,,The Project Team Leader will have overall responsibility for the project operations development of work plans programmes and activities as well as progress and reporting to UNDP and national implementing partner. The position will be filled by a competition open to the public. This is a senior expert level position and the successful candidate should have extensive experience in the implementation of environmental planning projects and the operation of similar scale of projects preferably with experience in capacity building and training programmes. The Project Team Leader will be the Head of the Project Implementation Team. The PTL will be supported by a part time local and international experts as well as by local support staff. The Project Team Leader will perform a certain liaison role with government UNDP and stakeholders.  The Project Team Leader will perform duties under the direct supervision of UNDP EG Programme Analyst and guidance of the Project Responsible Person.,,100.0,10,,1,1,,open,remote,,,,,
4332,Expert Team Assistant,,Under the overall guidance of the National Project Coordinator and direct supervision of the Annual Work Plan AWP Manager the Expert Team Assistant will provide support to the Team Leader/Experts by assisting in implementation of tasks associated with the day-to-day running of the project. He/she will be responsible for secretarial and project management support functions,,100.0,10,,1,1,,open,remote,,,,,
4333,"Team Leader/Expert on Elaboration of the Constraints & Gaps, &",,Under the overall guidance of National Project Coordinator NPC and UNDP Programme AWP Manager PM the Team Leader/Expert is responsible for co-ordination and execution of the corresponding technical component to ensure overall quality of the Project. The Team Leader/Expert will support the Programme Manager in project management issues. The incumbent will provide technical guidance and supervise the work of the experts and the national institutions involved.,,100.0,10,,1,1,,open,remote,,,,,
4334,Accountant,,Cascade Insurance ICJSC is looking for a motivated self-driven highly professional candidate for the position of Accountant. The successful incumbent will be responsible for overall accounting of the company. The position holder will carry out several accounting functions and other duties as assigned. The Accountant will report to the Chief Accountant of the company. Cascade Insurance is looking for a well organized and hard working person able to work in a western-style office environment towards the achievement of team goals.,,100.0,10,,1,1,,open,remote,,,,,
